title,company,location,link,source,scraped_at,description
"4 weeks ago

ICT Servicedesk / First Level Support 100%
Place of work:

Rothenburg

Workload:

100%

Contract type:

Permanent position

Gemeindeverband ICT",,,https://www.jobs.ch/en/vacancies/detail/c7ad85a8-7239-4401-94d3-066f33e7a9fb/,jobs.ch,2026-02-11 15:04:41,
"10 hours ago

ICT-Architektin/ICT-Architekt
Place of work:

Liestal

Workload:

80 – 100%

Contract type:

Permanent position

Kantonale Verwaltung Basel-Landschaft

New",,,https://www.jobs.ch/en/vacancies/detail/1a56e07b-708e-4332-9996-12c3e98d9bd5/,jobs.ch,2026-02-11 15:04:41,
"2 days ago

Ressortleitung ICT w/m/d
Place of work:

Bern

Workload:

80 – 100%

Contract type:

Permanent position

fenaco Genossenschaft",,,https://www.jobs.ch/en/vacancies/detail/38b7f370-d3eb-4e0c-bd7e-7719dd534bad/,jobs.ch,2026-02-11 15:04:41,
"9 hours ago

ICT Workplace Engineer (a)
Place of work:

Burgdorf

Workload:

80 – 100%

Contract type:

Permanent position

Spital Emmental

New",,,https://www.jobs.ch/en/vacancies/detail/a753c35c-576f-4d0e-a2d9-3d43aca24a31/,jobs.ch,2026-02-11 15:04:41,
"Yesterday

ICT-Fachperson
Place of work:

Berikon

Workload:

50 – 60%

Contract type:

Permanent position

Mastertools GmbH

Easy apply",,,https://www.jobs.ch/en/vacancies/detail/22740f71-1c13-4426-8ab3-e899d72b218e/,jobs.ch,2026-02-11 15:04:41,
"9 hours ago

ICT-Supporter:in (a)
Place of work:

Burgdorf

Workload:

80 – 100%

Contract type:

Permanent position

Spital Emmental

New",,,https://www.jobs.ch/en/vacancies/detail/2916436a-2b73-43f4-9eac-152c2f81314c/,jobs.ch,2026-02-11 15:04:41,
"3 hours ago

Senior ICT Specialist
Place of work:

6110

Workload:

100%

Contract type:

Permanent position

Geistlich Pharma AG

New",,,https://www.jobs.ch/en/vacancies/detail/236745be-98ee-473a-9413-57a2f53d149d/,jobs.ch,2026-02-11 15:04:41,
"2 weeks ago

ICT Security Analyst
Place of work:

Emmen

Workload:

100%

Contract type:

Permanent position

RUAG MRO Holding AG",,,https://www.jobs.ch/en/vacancies/detail/3a77a977-c4fa-4d23-9ec1-fde14b4723fa/,jobs.ch,2026-02-11 15:04:41,
"Yesterday

ICT-Fachmann / ICT-Fachfrau 80-100 % mit Entwicklungsmöglichkeiten
Place of work:

Inwil

Workload:

80 – 100%

Contract type:

Permanent position

Obrist Interior AG

Easy apply
New",,,https://www.jobs.ch/en/vacancies/detail/2e8dde9f-9882-4c29-90aa-d62b5fddcb6a/,jobs.ch,2026-02-11 15:04:41,
"8 hours ago

ICT-System-Administrator/in 100%
Place of work:

Grüningen

Workload:

100%

Contract type:

Permanent position

Verkehrsbetriebe Zürichsee und Oberland (VZO) AG

New",,,https://www.jobs.ch/en/vacancies/detail/e6551d4c-9a2f-4bf1-9b26-15fd60625606/,jobs.ch,2026-02-11 15:04:41,
